05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"


05-05-2024 18:02:30.095,10719,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:02:31.344,10720,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:02:32.695,10721,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:02:34.509,10722,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:02:46.271,10723,RECV,BC303130313436393130303030464441410D
05-05-2024 18:02:46.585,10724,RECV,BC303130313436463230303030464439430D
05-05-2024 18:02:46.896,10725,RECV,BC303130313436433130303030464441300D
05-05-2024 18:02:47.204,10726,RECV,BC303130313436433230303030464439460D
05-05-2024 18:02:47.515,10727,RECV,BC3031303134363432453030323031464433360D
05-05-2024 18:02:47.826,10728,RECV,BC3031303134363434453030323031464433340D
05-05-2024 18:02:48.141,10729,RECV,BC303130313436393130303030464441410D
05-05-2024 18:02:48.455,10730,RECV,BC303130313436463230303030464439430D
05-05-2024 18:02:48.769,10731,RECV,BC303130313436433130303030464441300D
05-05-2024 18:02:49.083,10732,RECV,BC303130313436433230303030464439460D
05-05-2024 18:02:49.394,10733,RECV,BC3031303134363432453030323031464433360D
05-05-2024 18:02:49.710,10734,RECV,BC3031303134363434453030323031464433340D
05-05-2024 18:02:50.019,10735,RECV,BC303130313436393130303030464441410D
05-05-2024 18:02:50.332,10736,RECV,BC303130313436463230303030464439430D
05-05-2024 18:02:50.642,10737,RECV,BC303130313436433130303030464441300D
05-05-2024 18:02:50.955,10738,RECV,BC303130313436433230303030464439460D
05-05-2024 18:02:51.267,10739,RECV,BC3031303134363432453030323031464433360D
05-05-2024 18:02:54.036,10740,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:02:58.719,10741,RECV,BC30323032343634344530
05-05-2024 18:02:58.781,10742,RECV,30323031464433320D
05-05-2024 18:02:59.033,10743,RECV,BC303230323436393130303030
05-05-2024 18:02:59.095,10744,RECV,464441380D
05-05-2024 18:02:59.344,10745,RECV,BC303230323436463230303030464439410D
05-05-2024 18:02:59.654,10746,RECV,BC303230323436433130303030464439450D
05-05-2024 18:02:59.968,10747,RECV,BC303230323436433230303030464439440D
05-05-2024 18:03:00.278,10748,RECV,BC303230323436343245303032303146
05-05-2024 18:03:00.343,10749,RECV,4433340D
05-05-2024 18:03:00.591,10750,RECV,BC3032303234363434453030323031464433320D
05-05-2024 18:03:00.902,10751,RECV,BC303230323436393130303030464441380D
05-05-2024 18:03:01.208,10752,RECV,BC303230323436463230303030464439
05-05-2024 18:03:01.270,10753,RECV,410D
05-05-2024 18:03:01.519,10754,RECV,BC303230323436433130303030464439450D
05-05-2024 18:03:01.830,10755,RECV,BC303230323436433230303030464439440D
05-05-2024 18:03:02.142,10756,RECV,BC3032303234363432453030323031464433340D
05-05-2024 18:03:02.452,10757,RECV,BC3032303234363434453030323031464433320D
05-05-2024 18:03:02.765,10758,RECV,BC303230323436393130303030464441380D
05-05-2024 18:03:03.076,10759,RECV,BC303230323436463230303030464439410D
05-05-2024 18:03:03.387,10760,RECV,BC303230323436433130303030464439
05-05-2024 18:03:03.450,10761,RECV,450D
